symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"ZCH93","1991-09-20T00:00:00-05:00","1991-09-20","260","260","258","258","0","0"
"ZCH93","1991-09-23T00:00:00-05:00","1991-09-23","258.5","258.5","258.5","258.5","0","0"
"ZCH93","1991-09-24T00:00:00-05:00","1991-09-24","258","258","258","258","0","0"
"ZCH93","1991-09-25T00:00:00-05:00","1991-09-25","257","257","257","257","0","0"
"ZCH93","1991-09-26T00:00:00-05:00","1991-09-26","256","256","256","256","0","0"
"ZCH93","1991-09-27T00:00:00-05:00","1991-09-27","256","256","256","256","0","0"
"ZCH93","1991-09-30T00:00:00-05:00","1991-09-30","257.5","257.5","257.5","257.5","0","0"
"ZCH93","1991-10-01T00:00:00-05:00","1991-10-01","260","261","260","261","0","0"
"ZCH93","1991-10-02T00:00:00-05:00","1991-10-02","261","261","261","261","0","0"
"ZCH93","1991-10-03T00:00:00-05:00","1991-10-03","260","260","260","260","0","0"
"ZCH93","1991-10-04T00:00:00-05:00","1991-10-04","261.5","261.5","261.5","261.5","0","0"
"ZCH93","1991-10-07T00:00:00-05:00","1991-10-07","260","262","260","262","0","0"
"ZCH93","1991-10-08T00:00:00-05:00","1991-10-08","261.5","261.75","261.5","261.75","0","0"
"ZCH93","1991-10-09T00:00:00-05:00","1991-10-09","261","261","261","261","0","0"
"ZCH93","1991-10-10T00:00:00-05:00","1991-10-10","262.5","262.5","262.5","262.5","0","0"
"ZCH93","1991-10-11T00:00:00-05:00","1991-10-11","261.5","263","261.5","263","0","0"
"ZCH93","1991-10-14T00:00:00-05:00","1991-10-14","264","264","264","264","0","0"
"ZCH93","1991-10-15T00:00:00-05:00","1991-10-15","265.25","265.25","265.25","265.25","0","0"
"ZCH93","1991-10-16T00:00:00-05:00","1991-10-16","264","264","264","264","0","0"
"ZCH93","1991-10-17T00:00:00-05:00","1991-10-17","264.5","264.5","264","264","0","0"
"ZCH93","1991-10-18T00:00:00-05:00","1991-10-18","262.75","262.75","262.75","262.75","0","0"
"ZCH93","1991-10-21T00:00:00-05:00","1991-10-21","262.25","262.25","262.25","262.25","0","0"
"ZCH93","1991-10-22T00:00:00-05:00","1991-10-22","265.25","266.25","265.25","265.5","0","0"
"ZCH93","1991-10-23T00:00:00-05:00","1991-10-23","266","267.5","265.25","265.25","0","0"
"ZCH93","1991-10-24T00:00:00-05:00","1991-10-24","265","266.5","264.5","266.5","0","0"
"ZCH93","1991-10-25T00:00:00-05:00","1991-10-25","266","266","265","265.5","0","0"
"ZCH93","1991-10-28T00:00:00-06:00","1991-10-28","265","265","265","265","0","0"
"ZCH93","1991-10-29T00:00:00-06:00","1991-10-29","264.75","266","264","265.5","0","0"
"ZCH93","1991-10-30T00:00:00-06:00","1991-10-30","264","264","262.5","262.5","0","0"
"ZCH93","1991-10-31T00:00:00-06:00","1991-10-31","263","263","261.25","261.25","0","0"
"ZCH93","1991-11-01T00:00:00-06:00","1991-11-01","263","263","262","263","0","0"
"ZCH93","1991-11-04T00:00:00-06:00","1991-11-04","263","263","263","263","0","0"
"ZCH93","1991-11-05T00:00:00-06:00","1991-11-05","264","264","262.25","262.25","0","0"
"ZCH93","1991-11-06T00:00:00-06:00","1991-11-06","261.75","263.25","261.75","263.25","0","0"
"ZCH93","1991-11-07T00:00:00-06:00","1991-11-07","263","263","262","262.25","0","0"
"ZCH93","1991-11-08T00:00:00-06:00","1991-11-08","262","262.25","261.5","262.25","0","0"
"ZCH93","1991-11-11T00:00:00-06:00","1991-11-11","261.5","261.5","261.25","261.5","0","0"
"ZCH93","1991-11-12T00:00:00-06:00","1991-11-12","262","262","262","262","0","0"
"ZCH93","1991-11-13T00:00:00-06:00","1991-11-13","264","264","264","264","0","0"
